date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:28:43	122/122	---M--	200	added ('OK')	text/plain	date:Tue,%2001%20Aug%202023%2005:30:38%20GMT	https://demo.graygrids.com/robots.txt		(from )
21:28:43	55573/55573	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:16%20GMT	https://demo.graygrids.com/themes/bright/	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/index.html	(from )
21:28:43	121200/121200	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:19%20GMT	https://demo.graygrids.com/themes/bright/assets/css/bootstrap.min.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/css/bootstrap.min.css	(from https://demo.graygrids.com/themes/bright/)
21:28:44	64825/64825	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:19%20GMT	https://demo.graygrids.com/themes/bright/assets/css/main.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/css/main.css	(from https://demo.graygrids.com/themes/bright/)
21:28:44	8516/8516	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:19%20GMT	https://demo.graygrids.com/themes/bright/assets/css/normalize.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/css/normalize.css	(from https://demo.graygrids.com/themes/bright/)
21:28:44	30999/30999	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:23%20GMT	https://demo.graygrids.com/themes/bright/assets/fonts/font-awesome.min.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/fonts/font-awesome.min.css	(from https://demo.graygrids.com/themes/bright/)
21:28:45	2117/2117	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:19%20GMT	https://demo.graygrids.com/themes/bright/assets/css/color-switcher.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/css/color-switcher.css	(from https://demo.graygrids.com/themes/bright/)
21:28:45	74079/74079	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:23%20GMT	https://demo.graygrids.com/themes/bright/assets/extras/animate.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/extras/animate.css	(from https://demo.graygrids.com/themes/bright/)
21:28:45	6514/6514	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:23%20GMT	https://demo.graygrids.com/themes/bright/assets/extras/owl.carousel.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/extras/owl.carousel.css	(from https://demo.graygrids.com/themes/bright/)
21:28:45	1683/1683	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:23%20GMT	https://demo.graygrids.com/themes/bright/assets/extras/owl.theme.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/extras/owl.theme.css	(from https://demo.graygrids.com/themes/bright/)
21:28:46	73340/73340	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:23%20GMT	https://demo.graygrids.com/themes/bright/assets/extras/settings.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/extras/settings.css	(from https://demo.graygrids.com/themes/bright/)
21:28:46	5772/5772	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:23%20GMT	https://demo.graygrids.com/themes/bright/assets/extras/nivo-lightbox.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/extras/nivo-lightbox.css	(from https://demo.graygrids.com/themes/bright/)
21:28:46	3205/3205	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:19%20GMT	https://demo.graygrids.com/themes/bright/assets/css/slicknav.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/css/slicknav.css	(from https://demo.graygrids.com/themes/bright/)
21:28:47	4639/4639	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:19%20GMT	https://demo.graygrids.com/themes/bright/assets/css/responsive.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/css/responsive.css	(from https://demo.graygrids.com/themes/bright/)
21:28:47	5172/5172	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2015:10:24%20GMT	https://demo.graygrids.com/themes/bright/assets/css/colors/sky.css	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/css/colors/sky.css	(from https://demo.graygrids.com/themes/bright/)
21:28:47	19001/19001	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:17%20GMT	https://demo.graygrids.com/themes/bright/login.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/login.html	(from https://demo.graygrids.com/themes/bright/)
21:28:48	55573/55573	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:16%20GMT	https://demo.graygrids.com/themes/bright/index.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/index-2.html	(from https://demo.graygrids.com/themes/bright/)
21:28:48	21278/21278	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Jul%202023%2015:10:22%20GMT	https://demo.graygrids.com/themes/bright/assets/img/logo.png	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/logo.png	(from https://demo.graygrids.com/themes/bright/)
21:28:49	60792/60792	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:18%20GMT	https://demo.graygrids.com/themes/bright/index-1.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/index-1.html	(from https://demo.graygrids.com/themes/bright/)
21:28:49	25090/25090	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:17%20GMT	https://demo.graygrids.com/themes/bright/courses-list.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/courses-list.html	(from https://demo.graygrids.com/themes/bright/)
21:28:49	25701/25701	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:17%20GMT	https://demo.graygrids.com/themes/bright/courses-grid.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/courses-grid.html	(from https://demo.graygrids.com/themes/bright/)
21:28:50	28177/28177	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:18%20GMT	https://demo.graygrids.com/themes/bright/courses-single.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/courses-single.html	(from https://demo.graygrids.com/themes/bright/)
21:28:50	25853/25853	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:16%20GMT	https://demo.graygrids.com/themes/bright/about.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/about.html	(from https://demo.graygrids.com/themes/bright/)
21:28:51	22171/22171	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:17%20GMT	https://demo.graygrids.com/themes/bright/gallery.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/gallery.html	(from https://demo.graygrids.com/themes/bright/)
21:28:51	22504/22504	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:18%20GMT	https://demo.graygrids.com/themes/bright/faq.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/faq.html	(from https://demo.graygrids.com/themes/bright/)
21:28:51	21081/21081	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:17%20GMT	https://demo.graygrids.com/themes/bright/single-teacher.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/single-teacher.html	(from https://demo.graygrids.com/themes/bright/)
21:28:52	18744/18744	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:17%20GMT	https://demo.graygrids.com/themes/bright/registration.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/registration.html	(from https://demo.graygrids.com/themes/bright/)
21:28:52	23619/23619	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:16%20GMT	https://demo.graygrids.com/themes/bright/contact.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/contact.html	(from https://demo.graygrids.com/themes/bright/)
21:28:52	16409/16409	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:17%20GMT	https://demo.graygrids.com/themes/bright/404.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/404.html	(from https://demo.graygrids.com/themes/bright/)
21:28:53	22761/22761	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:17%20GMT	https://demo.graygrids.com/themes/bright/event-grid.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/event-grid.html	(from https://demo.graygrids.com/themes/bright/)
21:28:54	30594/30594	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:16%20GMT	https://demo.graygrids.com/themes/bright/blog-left-sidebar.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/blog-left-sidebar.html	(from https://demo.graygrids.com/themes/bright/)
21:28:55	25029/25029	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:17%20GMT	https://demo.graygrids.com/themes/bright/blog-full-width.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/blog-full-width.html	(from https://demo.graygrids.com/themes/bright/)
21:28:56	31284/31284	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2015:10:17%20GMT	https://demo.graygrids.com/themes/bright/single-post.html	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/single-post.html	(from https://demo.graygrids.com/themes/bright/)
21:28:58	391764/391764	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:25%20GMT	https://demo.graygrids.com/themes/bright/assets/img/slider/bg-1.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/slider/bg-1.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:01	30546/30546	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:28%20GMT	https://demo.graygrids.com/themes/bright/assets/img/courses/img-1.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/courses/img-1.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:01	211034/211034	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Jul%202023%2015:10:25%20GMT	https://demo.graygrids.com/themes/bright/assets/img/features/img1.png	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/features/img1.png	(from https://demo.graygrids.com/themes/bright/)
21:29:01	4004/4004	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:29%20GMT	https://demo.graygrids.com/themes/bright/assets/img/courses/thumb-teacher-1.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/courses/thumb-teacher-1.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:01	426450/426450	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:25%20GMT	https://demo.graygrids.com/themes/bright/assets/img/slider/bg-2.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/slider/bg-2.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:02	70617/70617	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:25%20GMT	https://demo.graygrids.com/themes/bright/assets/img/slider/bg-3.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/slider/bg-3.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:02	2078/2078	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:29%20GMT	https://demo.graygrids.com/themes/bright/assets/img/courses/thumb-teacher-2.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/courses/thumb-teacher-2.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:02	60670/60670	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:28%20GMT	https://demo.graygrids.com/themes/bright/assets/img/courses/img-2.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/courses/img-2.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:02	2215/2215	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:29%20GMT	https://demo.graygrids.com/themes/bright/assets/img/courses/thumb-teacher-3.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/courses/thumb-teacher-3.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:02	52905/52905	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:27%20GMT	https://demo.graygrids.com/themes/bright/assets/img/courses/img-3.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/courses/img-3.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:03	55675/55675	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:28%20GMT	https://demo.graygrids.com/themes/bright/assets/img/courses/img-4.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/courses/img-4.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:03	53426/53426	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:28%20GMT	https://demo.graygrids.com/themes/bright/assets/img/courses/img-6.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/courses/img-6.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:04	64122/64122	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:28%20GMT	https://demo.graygrids.com/themes/bright/assets/img/courses/img-5.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/courses/img-5.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:05	268547/268547	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Jul%202023%2015:10:25%20GMT	https://demo.graygrids.com/themes/bright/assets/img/features/why.png	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/features/why.png	(from https://demo.graygrids.com/themes/bright/)
21:29:05	181387/181387	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Jul%202023%2015:10:31%20GMT	https://demo.graygrids.com/themes/bright/assets/img/teacher/img-1.png	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/teacher/img-1.png	(from https://demo.graygrids.com/themes/bright/)
21:29:09	5876/5876	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:30%20GMT	https://demo.graygrids.com/themes/bright/assets/img/testimonial/avatar1.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/testimonial/avatar1.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:10	248949/248949	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Jul%202023%2015:10:31%20GMT	https://demo.graygrids.com/themes/bright/assets/img/teacher/img-3.png	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/teacher/img-3.png	(from https://demo.graygrids.com/themes/bright/)
21:29:10	13253/13253	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:30%20GMT	https://demo.graygrids.com/themes/bright/assets/img/testimonial/avatar2.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/testimonial/avatar2.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:10	6267/6267	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:30%20GMT	https://demo.graygrids.com/themes/bright/assets/img/testimonial/avatar3.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/testimonial/avatar3.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:11	50161/50161	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:30%20GMT	https://demo.graygrids.com/themes/bright/assets/img/testimonial/avatar4.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/testimonial/avatar4.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:11	36923/36923	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:29%20GMT	https://demo.graygrids.com/themes/bright/assets/img/news/img-1.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/news/img-1.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:11	47091/47091	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:29%20GMT	https://demo.graygrids.com/themes/bright/assets/img/news/img-2.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/news/img-2.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:12	320544/320544	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Jul%202023%2015:10:31%20GMT	https://demo.graygrids.com/themes/bright/assets/img/teacher/img-2.png	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/teacher/img-2.png	(from https://demo.graygrids.com/themes/bright/)
21:29:13	113422/113422	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:29%20GMT	https://demo.graygrids.com/themes/bright/assets/img/news/img-3.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/news/img-3.jpg	(from https://demo.graygrids.com/themes/bright/)
21:29:13	140822/140822	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Jul%202023%2015:10:29%20GMT	https://demo.graygrids.com/themes/bright/assets/img/news/img-4.jpg	C:/Users/Adalr/Downloads/HomeDemo/demo.graygrids.com/themes/bright/assets/img/news/img-4.jpg	(from https://demo.graygrids.com/themes/bright/)
